id_starname,teff,teff_err,logg,logg_err,feh,feh_err,lum,lum_err,gmag,gmag_err,rmag,rmag_err,imag,imag_err,zmag,zmag_err,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,gamag,gamag_err,bpmag,bpmag_err,rpmag,rpmag_err,parallax,parallax_err,bmag,bmag_err,vmag,vmag_err,btmag,btmag_err,vtmag,vtmag_err,numax,numax_err,dnu,dnu_err,dmag,dmag_err,ra,dec,band,iso_age,iso_age_err1,iso_age_err2,iso_avs,iso_avs_err1,iso_avs_err2,iso_dis,iso_dis_err1,iso_dis_err2,iso_feh,iso_feh_err1,iso_feh_err2,iso_mass,iso_mass_err1,iso_mass_err2,iso_rad,iso_rad_err1,iso_rad_err2,iso_lum,iso_lum_err1,iso_lum_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_rho,iso_rho_err1,iso_rho_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_teffsec,iso_teffsec_err1,iso_teffsec_err2,iso_radsec,iso_radsec_err1,iso_radsec_err2,iso_masssec,iso_masssec_err1,iso_masssec_err2,iso_rhosec,iso_rhosec_err1,iso_rhosec_err2,iso_loggsec,iso_loggsec_err1,iso_loggsec_err2
TOI1641,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,8.613999999999999,0.02,-99,0,8.87427,0.001485,8.76706,0.001685,0.002170478026080464,3.325477154872722e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,64.31142478129311,-38.8441688281628,kmag,0.48485018804098007,0.05172603842688456,-0.04523676648793812,0.04889936629061323,0.0002606913316265322,-0.000165785363326669,457.31468149236883,10.607018646563915,-6.194176124635021,0.0252095887214884,0.21736945161157598,-0.15487883309884035,2.4059283518881402,0.09986092017445136,-0.09175471029218807,3.226271856307121,0.06472084563212688,-0.05648730745003849,54.13604071298947,2.3263060529828365,-1.6792960181340888,3.8025276970137565,0.017658929109615862,-0.033662293022031164,0.07142453429925447,0.0037004532098460913,-0.005327732449953243,8718.576748043872,18.63064611442678,-18.25849859054324,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI777,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,8.109,0.028999999999999998,-99,0,9.65723,0.001267,8.91182,0.004027,0.004557075086926207,4.069280589517772e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,259.49575842721697,-45.8835290241942,kmag,2.290567974920556,0.831356470196698,-0.31137241368095214,0.1659375929457247,0.003782168226334953,-0.0032223175084120648,218.8608513383427,4.897624838255439,-4.02379167850134,0.12078716358097769,0.05700194514622983,-0.19979133307796285,1.4847171561108095,0.051467451110474016,-0.16886466893039676,2.29796365434872,0.05582954224182979,-0.03947389178202654,7.038471347434667,0.35503049618110527,-0.24909914876242922,3.876903411003045,0.02706176918476988,-0.05354222202618297,0.11783004265908395,0.009853911372941948,-0.013954602498717467,6196.128348189239,26.133058210084528,-25.23299759393467,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI464,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,7.79,0.021,-99,0,8.36127,0.001381,8.09549,0.001598,0.0054310930074677535,3.493892555245379e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,134.718515758572,-43.4528821348845,kmag,0.11946651620152907,0.04340520418769678,-0.01946651620152906,0.8688165070783992,0.016263483827692715,-0.016190907217343953,183.41819165739423,3.2453538027689888,-3.2322484882198808,-0.5219009122137458,0.022300769640477225,-0.10165790061183255,2.4351261689771047,0.04688481422973467,-0.06935023440906685,1.6640311940988424,0.014849695741954827,-0.020624191672963033,55.90495245522545,5.5775200896073756,-5.023560484050904,4.3827101407268785,0.005409277811623703,-0.008851593116424361,0.5299408377679867,0.008369798568788278,-0.013886422253300168,12231.104939080813,243.5046012047551,-219.68988619491756,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI2143,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,8.367,0.024,-99,0,9.15018,0.0017170000000000002,8.74516,0.0025800000000000003,0.003276142800512389,5.784610523416729e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,203.16661636190497,-38.8459281424864,kmag,0.9075279813431257,0.1121146631854325,-0.1346289938765972,0.15685112798185505,0.0032089474752551306,-0.00240008623540669,303.02050949032906,8.338689980096149,-6.288777595786598,0.008302766683934343,0.23474283269487017,-0.20470769999478708,1.8607900142482927,0.11470235456950095,-0.06893377012713975,2.575791604457599,0.07156936158173588,-0.05875695721936669,18.89695984549999,1.2156925277648867,-0.7289886121012152,3.8840189558871088,0.026873722281087975,-0.03853674336369384,0.10751498465547735,0.00970341705029007,-0.010919194600106846,7503.357015104256,12.518159642847422,-11.996798724040673,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI622,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,8.387,0.023,-99,0,9.260760000000001,0.002219,8.83566,0.003003,0.004083349326451529,3.20469315893614e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,99.5814180721751,-47.6138602540578,kmag,0.8805952662400257,0.21142904771471283,-0.14136482390144023,0.2045551587900284,0.0028793707070905727,-0.003130901948638104,244.3008721658298,3.722660084463712,-4.18169346640795,0.03351377058738163,0.09553615180623927,-0.1621808250230541,1.7219264408309993,0.07268777968492945,-0.07483307180631615,2.0555349448155806,0.029034534328201023,-0.036511595662351404,12.372555835202283,0.3295090584166882,-0.4374151619515594,4.05007944136311,0.018231707962192978,-0.0293237632007477,0.1973890764896184,0.011053091661051423,-0.014660806804737192,7554.357880763235,10.985364236326859,-16.607110085033128,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI671,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,10.193999999999999,0.024,-99,0,10.9171,0.000926,10.5727,0.000682,0.0015354779866198448,5.2173380594184745e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,169.414496635801,-44.0171244830727,kmag,0.642468872998572,0.13716324782429135,-0.0760182052062961,0.2980876197376453,0.006837355482885887,-0.0003898208987697105,653.9696221427911,30.07921902574651,-1.9329665921918604,0.06861025734367959,0.1348116709199808,-0.15801332834065263,2.002408096006433,0.04105364997571792,-0.1142944881116037,2.3225003510093845,0.11008392677494605,-0.012977136033142767,20.82403362393807,2.123321370973592,-0.12256286044069142,3.997804996757879,0.01844215898327528,-0.0407458221765844,0.15538774212941353,0.0072591350283467415,-0.018815485104711233,8095.9373290560325,7.281387540601827,-15.420749829326269,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI1715,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,6.931,0.021,-99,0,7.674169999999999,0.00109,7.3305,0.00124,0.008994504357837359,4.744850021921058e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,124.602826721589,-7.57127954830024,kmag,0.8181392735865803,0.1858415316434746,-0.25925205309871724,0.0,0.0,-0.0,110.69889316536891,2.6795104200237745,-1.7854776250461981,0.03601001010332609,0.10207034519803838,-0.13530342665174633,1.6250596766484215,0.08532779951461023,-0.0441570145786514,1.799848793884595,0.04877028092570823,-0.02661054683513364,9.339942523849382,0.4104035821825658,-0.39658570208008825,4.127474697157642,0.04380893773155048,-0.014378865516281536,0.271911632382187,0.026169814541251335,-0.01814860290889736,7501.962808417134,17.60364233711789,-2.958940897998218,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI760,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,8.833,0.021,-99,0,10.3453,0.001233,9.64058,0.001258,0.005250253324722918,4.300164955907191e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,261.062911702233,-50.3859528021206,kmag,2.5094582107034356,0.7140796336832684,-0.8268565643293828,0.17107408894317044,0.0016345609990326415,-0.004324604080564065,191.68936799847125,1.638634877052482,-5.070388011991042,-0.08016098271581477,0.25818636173312676,-0.1810230568591228,1.2379976834538202,0.05545223658207177,-0.06710993464707271,1.43027145388614,0.013659381553707828,-0.039293971067593914,2.9768935853685385,0.07941653368129131,-0.1546096735427258,4.21768597821666,0.034109302183394696,-0.023115490656493876,0.4212115258367046,0.041905432778516105,-0.024858496522569495,6355.837876143824,21.221125895754994,-28.137070318462975,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI1431,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,9.571,0.02,-99,0,9.65048,0.002125,9.57865,0.003453,0.0013001567989099484,0.00019089436094342325,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,40.2455752920843,42.8712762407966,kmag,0.3253121111825457,0.04234149489688621,-0.036499902483076,0.21402865281636801,0.0,-0.0,742.0711109458623,121.98370498097506,-102.33005328418596,-0.021778087141221272,0.21114041044810455,-0.15750541906337162,2.70167049675105,0.19563599817433497,-0.18150684601043565,3.202640373224639,0.5284944095939355,-0.4522888405717831,86.03639845014095,29.145961620837838,-21.85954913349788,3.837002568167232,0.10835690019487831,-0.10717785487520315,0.07627839553106833,0.036514262069018324,-0.025074643900687588,9807.80475945968,68.77187043891354,-62.598608951610004,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI902,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,15.418,0.17,-99,0,15.9736,0.004915999999999999,15.7357,0.004611,0.0004503774162748383,6.270590105532594e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,32.1697395593415,-9.046006357228961,kmag,0.29074516977764336,0.28172082309557195,-0.14851256893292047,0.0,0.0,-0.0,3970.3403699851824,153.16071804171133,-216.3772706199361,-0.4474024377896665,0.1105204415410172,-0.1690218950790101,1.4006091511965688,0.05991639338064925,-0.059516750946515096,1.260024716844899,0.05082595364257014,-0.0668714907793917,5.991025764517296,0.4608230923934924,-0.5996514316473833,4.381025311080749,0.031163603620700364,-0.022896852435324355,0.6871689948511099,0.0951554737458018,-0.05819764938437877,8037.109437558278,36.19633263290689,-34.54547603643732,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI1414,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,11.45,0.021,-99,0,13.1532,0.001199,12.3565,0.000874,0.0014689745235748374,3.9090107623769455e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,133.258919629747,-22.1981437962986,kmag,1.4684210707635923,0.47274273714553217,-0.5199058856014707,0.5197838743798279,0.0,-0.0,673.980543325531,19.385604717597516,-22.102148505411265,0.04722395049658463,0.12535719507471746,-0.09142797514374612,1.3496062819977048,0.057389933654344194,-0.05672092529692452,1.492938527393211,0.045181457567968986,-0.05300344878214647,3.8805585468892407,0.21395886597592417,-0.25757954423936447,4.211892599824296,0.029703073791614187,-0.030601583944211974,0.39404911811709725,0.04171883381605607,-0.03563915673099877,6631.689601891888,15.025811329596763,-16.129763310297676,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI522,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,8.503,0.013000000000000001,-99,0,9.45277,0.001282,8.97541,0.0025039999999999997,0.005467259317576692,3.8574237997084416e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,79.0736590848513,79.7376706381447,kmag,0.9728731775706051,0.4420463417637338,-0.523590069924901,0.0,0.0,-0.0,182.30033451352426,3.7209518341116166,-2.444215608695231,0.007868666128482884,0.10917142145591491,-0.1516178583301088,1.4022061178573777,0.06377584042750262,-0.05891751409068058,1.4935711955988729,0.030863298436876185,-0.01733473698893162,4.679532863356929,0.18356160375951358,-0.12363088641478281,4.2298966846448405,0.02693157170540683,-0.02757261808089062,0.4150962921027563,0.022191002948370675,-0.032708626624117165,6936.189463961801,19.98422370744538,-14.952079761650566,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI710,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,7.994,0.024,-99,0,8.87065,0.0009109999999999999,8.45384,0.0013390000000000001,0.006340309787536219,2.9204957238700384e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,124.748837421064,-65.2781441063646,kmag,0.7092805681610058,0.41319567731921303,-0.4336457269192887,0.11357342845263148,0.002808634921376993,-0.0014871600015036734,157.07629115182374,3.7516139539453945,-2.2493404207520484,0.015952316665097405,0.10329053905884258,-0.2026579288670974,1.5399901139315024,0.06957790912527706,-0.09538614729138595,1.588652075379853,0.03294575697635249,-0.030289653338559264,6.918640181308593,0.3252669229763381,-0.24270326680463405,4.2105196714501565,0.03679197952335578,-0.017935237020070716,0.3741124462366,0.03788627105407966,-0.01800021083425407,7425.808175412868,12.960543022058118,-13.329661806033982,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
